hour , water content [m^3 m^-3], water potential [J kg^-1], soil temperature [C]
1, 0.20, -1001, 9.1
2, 0.20, -1003, 7.8
3, 0.20, -1004, 6.6
4, 0.20, -1006, 5.6
5, 0.20, -1007, 4.8
6, 0.20, -1009, 4.0
7, 0.20, -1010, 3.2
8, 0.20, -1011, 2.6
9, 0.20, -1012, 2.2
10, 0.20, -1013, 2.5
11, 0.20, -1014, 3.3
12, 0.20, -1016, 4.5
13, 0.20, -1016, 5.9
14, 0.20, -1017, 7.0
15, 0.20, -1020, 7.8
16, 0.20, -1023, 8.0
17, 0.20, -1026, 7.6
18, 0.20, -1029, 6.9
19, 0.20, -1032, 6.1
20, 0.20, -1035, 5.4
21, 0.20, -1037, 4.8
22, 0.20, -1039, 4.3
23, 0.20, -1041, 3.9
24, 0.20, -1042, 3.4
25, 0.20, -1043, 3.2
26, 0.20, -1034, 3.2
27, 0.20, -1019, 3.3
28, 0.20, -1007, 3.4
29, 0.20, -966, 3.5
30, 0.20, -909, 3.5
31, 0.21, -822, 3.6
32, 0.21, -714, 3.6
33, 0.22, -599, 3.7
34, 0.22, -491, 3.7
35, 0.23, -374, 3.9
36, 0.25, -252, 4.0
37, 0.26, -180, 4.1
38, 0.27, -141, 4.2
39, 0.28, -105, 4.3
40, 0.29, -94, 4.3
41, 0.28, -99, 4.3
42, 0.28, -103, 4.3
43, 0.28, -111, 4.2
44, 0.28, -122, 4.1
45, 0.27, -133, 4.1
46, 0.27, -142, 4.1
47, 0.27, -151, 4.1
48, 0.26, -158, 4.1
49, 0.26, -165, 4.0
50, 0.26, -172, 3.8
51, 0.26, -178, 3.7
52, 0.26, -183, 3.5
53, 0.26, -188, 3.5
54, 0.26, -193, 3.4
55, 0.26, -198, 3.3
56, 0.26, -202, 3.2
57, 0.25, -206, 3.1
58, 0.25, -211, 3.4
59, 0.25, -217, 4.3
60, 0.25, -223, 5.3
61, 0.25, -231, 6.3
62, 0.25, -240, 7.2
63, 0.25, -248, 7.7
64, 0.25, -255, 7.9
65, 0.25, -260, 7.6
66, 0.25, -265, 7.0
67, 0.24, -269, 6.3
68, 0.24, -272, 5.6
69, 0.24, -275, 4.9
70, 0.24, -278, 4.2
71, 0.24, -281, 3.6
